Rank,Name,Revenue,revenue(% change),profits in millions,profits % change,assets,market value,change in rank in 1000,employees,change in rank(500 only),measure_up_rank
1,Walmart,559151.00,0.067,"13,510",-0.092,"252,496",382642.80,-,2300000,-,20
2,Amazon,386064.00,0.376,"21,331",0.841,"321,195",1558069.60,-,1298000,-,11
3,Apple,274515.00,0.055,"57,411",0.039,"323,888",2050665.90,1,147000,1,188
4,CVS Health,268706.00,0.046,"7,179",0.082,"230,715",98653.20,1,256500,1,57
5,UnitedHealth Group,257141.00,0.062,"15,403",0.113,"197,289",351725.00,2,330000,2,25
6,Berkshire Hathaway,245510.00,-0.036,"42,521",-0.478,"873,729",587823.00,-,360000,-,-
7,McKesson,231051.00,0.078,900,25.471,"61,247",31044.00,1,70000,1,205
8,AmerisourceBergen,189893.90,0.057,"-3,408.70",-4.985,"44,274.80",24169.70,2,21500,2,120
9,Alphabet,182527.00,0.128,"40,269",0.173,"319,616",1392561.80,2,135301,2,215
10,Exxon Mobil,181502.00,-0.315,"-22,440",-2.565,"332,750",236355.40,-7,72000,-7,327
11,AT&T,171760.00,-0.052,"-5,176",-1.372,"525,761",215878.50,-2,230760,-2,26
12,Costco Wholesale,166761.00,0.092,"4,002",0.094,"55,556",155984.30,2,214500,2,123
13,Cigna,160401.00,0.045,"8,458",0.657,"155,451",83976.10,-,72963,-,179
14,Cardinal Health,152922.00,0.051,"-3,696",-3.712,"40,766",17840.30,2,48000,2,64
15,Microsoft,143015.00,0.136,"44,281",0.128,"301,311",1778228.20,6,163000,6,1
16,Walgreens Boots Alliance,139537.00,0.02,456,-0.885,"87,174",47455.30,3,277000,3,19
17,Kroger,132498.00,0.084,"2,585",0.558,"48,662",27064.30,6,465000,6,190
18,Home Depot,132110.00,0.199,"12,866",0.144,"70,581",328775.40,8,504800,8,66
19,JPMorgan Chase,129503.00,-0.091,"29,131",-0.2,"3,386,071",464530.80,-2,255351,-2,54
20,Verizon Communications,128292.00,-0.027,"17,801",-0.076,"316,481",240633.30,-,132200,-,7
21,Ford Motor,127144.00,-0.184,"-1,279",-28.213,"267,261",48739.00,-9,186000,-9,207
22,General Motors,122485.00,-0.107,"6,427",-0.045,"235,194",82794.90,-4,155000,-4,156
23,Anthem,121867.00,0.169,"4,572",-0.049,"86,615",87908.90,6,83400,6,18
24,Centene,111115.00,0.489,"1,808",0.369,"68,719",37169.60,18,71300,18,2
25,Fannie Mae,106437.00,-0.115,"11,805",-0.166,"3,985,749",2397.20,-1,7700,-1,343
26,Comcast,103564.00,-0.049,"10,534",-0.193,"273,869",247859.30,2,168000,2,88
27,Chevron,94692.00,-0.354,"-5,543",-2.896,"239,790",201865.00,-12,47736,-12,56
28,Dell Technologies,94224.00,0.022,"3,250",-0.296,"123,415",67229.10,6,158000,6,142
29,Bank of America,93753.00,-0.175,"17,894",-0.348,"2,819,627",333788.40,-4,212505,-4,10
30,Target,93561.00,0.198,"4,368",0.331,"51,248",98760.90,7,409000,7,3
31,Lowe's,89597.00,0.242,"5,835",0.363,"46,735",136407.90,13,280000,13,175
32,Marathon Petroleum,88952.00,-0.287,"-9,826",-4.726,"85,158",34873.80,-10,57900,-10,181
33,Citigroup,88839.00,-0.141,"11,047",-0.431,"2,260,090",151806.40,-2,210153,-2,17
34,Meta Platforms,85965.00,0.216,"29,146",0.577,"159,316",838724.20,12,58604,12,44
35,United Parcel Service,84628.00,0.142,"1,343",-0.698,"62,408",147791.60,8,408255,8,105
36,Johnson & Johnson,82584.00,0.006,"14,714",-0.027,"174,894",432685.30,-1,134500,-1,51
37,Wells Fargo,80303.00,-0.227,"3,301",-0.831,"1,955,163",161521.00,-7,268531,-7,13
38,General Electric,79619.00,-0.164,"5,704",-,"253,452",115342.50,-5,184000,-5,306
39,State Farm Insurance,78898.00,-0.006,"3,738.90",-0.331,"299,104.50",-,-3,57582,-3,-
40,Intel,77867.00,0.082,"20,899",-0.007,"153,091",260630.10,5,110600,5,6
41,Humana,77155.00,0.189,"3,367",0.244,"34,969",54087.70,11,48700,11,48
42,International Business Machines,73620.00,-0.046,"5,590",-0.407,"155,971",119080.30,-4,364800,-4,91
43,Procter & Gamble,70950.00,0.048,"13,027",2.343,"120,700",333493.10,7,99000,7,127
44,PepsiCo,70372.00,0.048,"7,120",-0.027,"92,918",195207.70,7,291000,7,58
45,FedEx,69217.00,-0.007,"1,286",1.381,"73,537",75367.80,2,418000,2,125
46,MetLife,67842.00,-0.026,"5,407",-0.083,"795,146",53762.60,2,46500,2,23
47,Freddie Mac,66228.00,-0.118,"7,326",0.016,"2,627,415",1332.60,-6,6922,-6,256
48,Phillips 66,65494.00,-0.402,"-3,975",-2.292,"54,721",35703.60,-21,14300,-21,283
49,Lockheed Martin,65398.00,0.093,"6,833",0.097,"50,710",102984.20,8,114000,8,160
50,Walt Disney,65388.00,-0.06,"-2,864",-1.259,"201,549",334952.50,-1,203000,-1,41
51,Archer Daniels Midland (ADM),64355.00,-0.005,"1,772",0.285,"49,719",31834.50,3,38332,3,128
52,Albertsons,62455.10,0.032,466.4,2.558,"24,735.10",8877.70,3,270000,3,-
53,Valero Energy,60115.00,-0.415,"-1,421",-1.587,"51,774",29267.20,-21,9964,-21,239
54,Boeing,58158.00,-0.24,"-11,873",-,"152,136",148664.80,-14,141000,-14,256
55,Prudential Financial,57033.00,-0.12,-374,-1.089,"940,722",36022.40,-2,41671,-2,189
56,HP,56639.00,-0.036,"2,844",-0.098,"34,681",39579.50,2,53000,2,71
57,Raytheon Technologies,56587.00,-0.266,"-3,519",-1.636,"162,153",117143.90,-18,181000,-18,-
58,StoneX,54139.60,0.646,169.6,0.993,"13,474.90",1284.40,42,2950,42,454
59,Goldman Sachs Group,53498.00,-0.008,"9,459",0.117,"1,163,028",116903.00,1,40500,1,46
60,Sysco,52893.30,-0.12,215.5,-0.871,"22,628.30",40189.80,-4,57000,-4,115
61,Morgan Stanley,52047.00,-0.033,"10,996",0.216,"1,115,862",146161.90,-,68097,-,47
62,HCA Healthcare,51533.00,0.004,"3,754",0.071,"47,490",63458.70,3,235000,3,311
63,Cisco Systems,49301.00,-0.05,"11,214",-0.035,"94,853",218308.50,-,77500,-,80
64,Charter Communications,48097.00,0.051,"3,222",0.932,"144,206",128965.70,7,96100,7,162
65,Merck,47994.00,0.025,"7,067",-0.282,"91,588",195062.00,4,73500,4,35
66,Best Buy,47262.00,0.083,"1,798",0.167,"19,067",28707.70,9,81600,9,137
67,New York Life Insurance,46712.40,0.059,-822.3,-1.819,"359,312.50",-,6,11506,6,186
68,AbbVie,45804.00,0.377,"4,616",-0.414,"150,565",190989.40,31,47000,31,77
69,Publix Super Markets,45204.00,0.175,"3,971.80",0.322,"28,094.10",-,18,227000,18,-
70,Allstate,44791.00,0.003,"5,576",0.15,"125,987",34800.20,2,42010,2,8
71,Liberty Mutual Insurance Group,43796.00,0.013,758,-0.274,"145,377",-,6,45000,6,230
72,American International Group,43736.00,-0.121,"-5,944",-2.775,"586,481",39848.90,-6,45000,-6,343
73,Tyson Foods,43185.00,0.018,"2,061",0.041,"34,456",27099.60,6,139000,6,220
74,Progressive,42658.10,0.093,"5,704.60",0.437,"64,098.30",55946.50,12,43326,12,16
75,Bristol-Myers Squibb,42518.00,0.626,"-9,015",-3.621,"118,481",141027.90,40,30250,40,-
76,Nationwide,41929.80,-0.047,-138.4,-1.167,"256,589.30",-,-2,25391,-2,-
77,Pfizer,41908.00,-0.19,"9,616",-0.409,"154,229",202096.90,-13,78500,-13,203
78,Caterpillar,41748.00,-0.224,"2,998",-0.508,"78,324",126439.60,-16,97300,-16,139
79,TIAA,41619.30,0.029,558.1,-0.773,"654,252",-,2,14953,2,-
80,Oracle,39068.00,-0.011,"10,135",-0.086,"115,438",202337.70,2,135000,2,365
81,Energy Transfer,38954.00,-0.281,-648,-1.18,"95,144",20754.70,-22,11421,-22,363
82,Dow,38542.00,-0.103,"1,225",-,"61,470",47649.70,-4,35700,-4,133
83,American Express,38185.00,-0.188,"3,135",-0.536,"191,367",113635.80,-16,63700,-16,29
84,General Dynamics,37925.00,-0.036,"3,167",-0.091,"51,308",51481.90,-1,100700,-1,157
85,Nike,37403.00,-0.044,"2,539",-0.37,"31,342",209499.80,-,75400,-,12
86,Northrop Grumman,36799.00,0.087,"3,189",0.419,"44,469",53956.70,10,97000,10,111
87,USAA,36296.20,0.019,"3,906.90",-0.025,"200,348.40",-,7,35935,7,245
88,Deere,35540.00,-0.095,"2,751",-0.154,"75,091",117270.00,-4,69634,-4,168
89,Abbott Laboratories,34608.00,0.085,"4,495",0.219,"72,548",212300.10,15,109000,15,62
90,Northwestern Mutual,33782.10,0.046,425,-0.665,"308,767",-,12,6641,12,-
91,Dollar General,33746.80,0.216,"2,655.10",0.55,"25,862.60",48479.70,21,158000,21,343
92,Exelon,33039.00,-0.041,"1,963",-0.331,"129,317",42723.50,3,32340,3,217
93,Coca-Cola,33014.00,-0.114,"7,747",-0.132,"87,296",227143.80,-5,80300,-5,262
94,Honeywell International,32637.00,-0.111,"4,779",-0.222,"64,586",150972.40,-2,103000,-2,321
95,Thermo Fisher Scientific,32218.00,0.261,"6,375",0.725,"69,052",179719.40,24,84362,24,278
96,3M,32184.00,0.001,"5,384",0.178,"47,344",111642.10,7,94987,7,106
97,TJX,32137.00,-0.23,90.5,-0.972,"30,813.60",79774.90,-17,320000,-17,36
98,Travelers,31981.00,0.013,"2,697",0.029,"116,764",37933.00,8,30294,8,173
99,Capital One Financial,31643.00,-0.063,"2,714",-0.511,"421,602",58097.00,-2,51985,-2,34
100,Tesla,31536.00,0.283,721,-,"52,148",641115.00,24,70757,24,172
101,Philip Morris International,28694.00,-0.037,"8,056",0.121,"44,815",138302.40,6,71000,6,67
102,Arrow Electronics,28673.40,-0.008,584.4,-,"17,053.90",8267.50,8,19600,8,368
103,CHS,28406.40,-0.11,422.4,-0.491,"15,993.90",-,2,10493,2,-
104,Jabil,27266.40,0.078,53.9,-0.812,"14,397.40",7833.20,17,240000,17,301
105,Enterprise Products Partners,27199.70,-0.17,"3,775.60",-0.178,"64,106.70",48038.80,-4,7130,-4,451
106,Hewlett Packard Enterprise,26982.00,-0.074,-322,-1.307,"54,015",20480.00,3,59400,3,84
107,United Natural Foods,26742.80,0.139,-274.1,-,"7,587",1854.40,26,28300,26,178
108,Mondelez International,26581.00,0.028,"3,555",-0.081,"67,810",82651.10,9,79000,9,237
109,ViacomCBS,26186.00,-0.058,"2,422",-0.268,"52,663",28853.20,2,24225,2,60
110,Kraft Heinz,26185.00,0.048,356,-0.816,"99,830",48924.70,12,38000,12,236
111,Dollar Tree,25509.30,0.08,"1,341.90",0.623,"20,696",26717.40,20,129772,20,112
112,Amgen,25424.00,0.088,"7,264",-0.074,"62,948",143704.30,23,24300,23,152
113,U.S. Bancorp,25241.00,-0.076,"4,959",-0.283,"553,905",83107.40,-,68108,-,185
114,Performance Food Group,25086.30,0.271,-114.1,-1.684,"7,719.70",7705.30,54,20000,54,454
115,Netflix,24996.10,0.24,"2,761.40",0.479,"39,280.40",231040.70,49,9400,49,166
116,Gilead Sciences,24689.00,0.1,123,-0.977,"68,407",81372.80,24,13600,24,28
117,TD Synnex,24675.60,0.039,529.2,0.057,"13,468.60",5874.50,13,277900,13,330
118,Eli Lilly,24539.80,0.099,"6,193.70",-0.255,"46,633.10",179158.90,27,35000,27,27
119,Truist Financial,24427.00,0.666,"4,482",0.39,"509,228",78408.50,98,53638,98,42
120,PNC Financial Services Group,24039.00,0.112,"7,517",0.4,"466,679",74377.40,31,50403,31,-
121,Broadcom,23888.00,0.057,"2,960",0.087,"75,933",189313.50,17,21000,17,320
122,CBRE Group,23826.20,-0.003,752,-0.414,"18,039.10",26549.10,6,100000,6,126
123,Massachusetts Mutual Life Insurance,23663.10,-0.365,-100.5,-1.027,"322,936.30",-,-34,9974,-34,-
